run,algorithm,attack,seed,flows_processed,attack_flows,benign_flows,anomaly_rate_pct,real_attack_rate_pct,precision,recall,f1,fpr,accuracy,tp,fp,tn,fn,throughput_fps,elapsed_s,git_commit,ground_truth,r0
halfspace_trees-benign-seed42,halfspace_trees,benign,seed42,3214,0,3214,46.98195395146235,0.0,0.0,0.0,0.0,0.4698195395146235,0.5301804604853765,0,1510,1704,0,71.76954559970311,44.78222584724426,fea56fb,ip,0.1
halfspace_trees-ddos-seed42,halfspace_trees,ddos,seed42,10000,6310,3690,82.09,63.1,0.7556340601778536,0.9830427892234548,0.8544665610579242,0.5436314363143632,0.7887,6203,2006,1684,107,136.26052618708096,73.38882565498352,fea56fb,ip,0.1
halfspace_trees-mirai-seed42,halfspace_trees,mirai,seed42,5445,2028,3417,52.41505968778696,37.24517906336088,0.4036440084092502,0.5680473372781065,0.4719377304383449,0.4980977465613111,0.5265381083562902,1152,1702,1715,876,102.91015849503921,52.91022849082947,fea56fb,ip,0.1
halfspace_trees-recon-seed42,halfspace_trees,recon,seed42,10000,5581,4419,49.220000000000006,55.81,0.44819179195449005,0.39526966493459953,0.4200704560601733,0.6146186920117673,0.3909,2206,2716,1703,3375,144.96650994436544,68.98144960403442,fea56fb,ip,0.1
halfspace_trees-syn-seed42,halfspace_trees,syn,seed42,10000,6306,3694,19.29,63.06,0.35666148263348885,0.1091024421186172,0.16709168184578022,0.33595018949648076,0.3141,688,1241,2453,5618,145.31809254052277,68.81455588340759,fea56fb,ip,0.1
halfspace_trees-tcp-seed42,halfspace_trees,tcp,seed42,10000,3712,6288,79.47999999999999,37.12,0.4451434323100151,0.953125,0.6068610634648369,0.7013358778625954,0.5416,3538,4410,1878,174,143.62466758213165,69.62592267990112,fea56fb,ip,0.1
isolation_forest-benign-seed42,isolation_forest,benign,seed42,3249,0,3249,13.234841489689137,0.0,0.0,0.0,0.0,0.13234841489689136,0.8676515851031087,0,430,2819,0,27.059086305217395,120.07057309150696,54b7a00,ip,0.1
isolation_forest-ddos-seed42,isolation_forest,ddos,seed42,10000,6308,3692,13.3,63.08,0.7669172932330827,0.1616994292961319,0.2670856245090338,0.08396533044420368,0.4402,1020,310,3382,5288,29.398520065346254,340.15317702293396,6581033,ip,0.1
lof-benign-seed42,lof,benign,seed42,3244,0,3244,19.204685573366216,0.0,0.0,0.0,0.0,0.19204685573366215,0.8079531442663379,0,623,2621,0,3.0614497350484533,1059.6286990642548,fea56fb,ip,0.1
lof-ddos-seed42,lof,ddos,seed42,10000,6281,3719,11.540000000000001,62.81,0.45753899480069327,0.0840630472854641,0.14203093476798925,0.16832481849959666,0.3621,528,626,3093,5753,1.5924814600325747,6279.5079572200775,fea56fb,ip,0.1
lof-mirai-seed42,lof,mirai,seed42,6595,2842,3753,15.466262319939347,43.09325246398787,0.3519607843137255,0.1263194933145672,0.18591403417918176,0.1761257660538236,0.5232752084912813,359,661,3092,2483,1.8464737892543384,3571.672686815262,fea56fb,ip,0.1
lof-recon-seed42,lof,recon,seed42,10000,5344,4656,11.899999999999999,53.44,0.346218487394958,0.07709580838323353,0.1261095806550352,0.16709621993127147,0.429,412,778,3878,4932,1.6738344772923,5974.306381940842,fea56fb,ip,0.1
lof-syn-seed42,lof,syn,seed42,10000,5503,4497,10.69,55.03,0.3882132834424696,0.07541341086679992,0.12629336579427874,0.14543028685790527,0.4258,415,654,3843,5088,1.743980963623239,5734.007542848587,fea56fb,ip,0.1
lof-tcp-seed42,lof,tcp,seed42,10000,3747,6253,10.66,37.47,0.2804878048780488,0.07979717107018948,0.12424683149802618,0.12266112266112267,0.5785,299,767,5486,3448,1.552315035790764,6441.991328716278,fea56fb,ip,0.1
