atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
ddos_syn,0.001,0,780,83,19,255,0,64,255
ddos_syn,0.001,1,1032,87,23,246,11,64,235
ddos_syn,0.001,10,1762,93,61,252,18,32,234
ddos_syn,0.001,11,2032,79,15,228,10,64,218
ddos_syn,0.001,12,780,83,19,257,41,64,216
ddos_syn,0.001,13,1032,87,23,244,7,64,237
ddos_syn,0.001,14,1270,73,9,242,20,64,222
ddos_syn,0.001,15,1548,83,19,239,0,64,239
ddos_syn,0.001,16,1763,92,28,233,0,64,233
ddos_syn,0.001,17,2032,79,15,228,10,64,218
ddos_syn,0.001,18,778,85,53,254,1,32,253
ddos_syn,0.001,19,1032,87,23,246,11,64,235
ddos_syn,0.001,2,1270,73,9,240,0,64,240
ddos_syn,0.001,20,1270,73,9,239,0,64,239
ddos_syn,0.001,21,1548,83,19,240,1,64,239
ddos_syn,0.001,22,1763,92,28,233,0,64,233
ddos_syn,0.001,23,2032,79,15,228,10,64,218
ddos_syn,0.001,24,778,85,21,257,1,64,256
ddos_syn,0.001,25,1032,87,23,246,11,64,235
ddos_syn,0.001,26,1270,73,9,239,0,64,239
ddos_syn,0.001,27,1548,83,19,240,1,64,239
ddos_syn,0.001,28,1763,92,28,233,0,64,233
ddos_syn,0.001,29,2034,77,13,232,4,64,228
ddos_syn,0.001,3,1548,83,19,240,1,64,239
ddos_syn,0.001,4,1763,92,28,241,0,64,241
ddos_syn,0.001,5,2032,79,15,228,10,64,218
ddos_syn,0.001,6,780,83,19,257,41,64,216
ddos_syn,0.001,7,1032,87,23,246,11,64,235
ddos_syn,0.001,8,1270,73,9,240,0,64,240
ddos_syn,0.001,9,1543,88,24,234,12,64,222
ddos_syn,0.1,0,780,83,19,257,1,64,256
ddos_syn,0.1,1,1031,88,24,248,5,64,243
ddos_syn,0.1,10,1763,92,92,241,60,0,181
ddos_syn,0.1,11,2032,79,15,228,24,64,204
ddos_syn,0.1,12,780,83,19,249,0,64,249
ddos_syn,0.1,13,1032,87,23,246,2,64,244
ddos_syn,0.1,14,1270,73,9,242,7,64,235
ddos_syn,0.1,15,1548,83,19,240,0,64,240
ddos_syn,0.1,16,1758,65,65,241,60,0,181
ddos_syn,0.1,17,2032,79,15,228,24,64,204
ddos_syn,0.1,18,780,83,19,257,1,64,256
ddos_syn,0.1,19,1032,87,23,244,0,64,244
ddos_syn,0.1,2,1270,73,9,242,7,64,235
ddos_syn,0.1,20,1270,73,9,240,0,64,240
ddos_syn,0.1,21,1548,83,83,238,60,0,178
ddos_syn,0.1,22,1763,92,92,233,60,0,173
ddos_syn,0.1,23,2043,68,36,234,1,32,233
ddos_syn,0.1,24,780,83,19,257,1,64,256
ddos_syn,0.1,25,1029,90,26,247,0,64,247
ddos_syn,0.1,26,1270,73,9,240,0,64,240
ddos_syn,0.1,27,1548,83,83,238,60,0,178
ddos_syn,0.1,28,1766,121,25,238,59,96,179
ddos_syn,0.1,29,2034,77,13,232,1,64,231
ddos_syn,0.1,3,1548,83,19,240,0,64,240
ddos_syn,0.1,4,1763,92,92,241,60,0,181
ddos_syn,0.1,5,2037,74,10,233,20,64,213
ddos_syn,0.1,6,780,83,19,249,0,64,249
ddos_syn,0.1,7,1032,87,23,246,2,64,244
ddos_syn,0.1,8,1270,73,9,240,0,64,240
ddos_syn,0.1,9,1548,83,19,240,0,64,240
dos_syn,0.001,0,781,50,50,132,28,0,104
dos_syn,0.001,1,1033,54,22,131,28,32,103
dos_syn,0.001,10,1765,58,58,128,0,0,128
dos_syn,0.001,11,2035,76,12,128,7,64,121
dos_syn,0.001,12,781,50,50,132,28,0,104
dos_syn,0.001,13,1033,54,22,131,28,32,103
dos_syn,0.001,14,1271,72,8,129,11,64,118
