atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
ddos_syn,0.001,0,779,84,20,258,0,64,258
ddos_syn,0.001,1,1032,87,23,261,17,64,244
ddos_syn,0.001,10,1764,91,91,247,16,0,231
ddos_syn,0.001,11,2034,77,13,242,5,64,237
ddos_syn,0.001,12,780,83,19,258,29,64,229
ddos_syn,0.001,13,1032,87,23,258,17,64,241
ddos_syn,0.001,14,1270,73,9,251,19,64,232
ddos_syn,0.001,15,1548,83,19,248,11,64,237
ddos_syn,0.001,16,1761,94,62,246,8,32,238
ddos_syn,0.001,17,2031,80,80,258,8,0,250
ddos_syn,0.001,18,780,83,19,259,29,64,230
ddos_syn,0.001,19,1032,87,23,261,17,64,244
ddos_syn,0.001,2,1270,73,41,248,19,32,229
ddos_syn,0.001,20,1270,73,41,248,19,32,229
ddos_syn,0.001,21,1548,83,19,244,11,64,233
ddos_syn,0.001,22,1760,95,31,269,9,64,260
ddos_syn,0.001,23,2037,74,10,244,2,64,242
ddos_syn,0.001,24,780,83,19,262,29,64,233
ddos_syn,0.001,25,1031,88,24,260,18,64,242
ddos_syn,0.001,26,1270,73,41,248,19,32,229
ddos_syn,0.001,27,1541,90,26,244,18,64,226
ddos_syn,0.001,28,1764,91,27,250,5,64,245
ddos_syn,0.001,29,2031,80,16,261,8,64,253
ddos_syn,0.001,3,1548,83,19,244,11,64,233
ddos_syn,0.001,4,1763,92,92,244,6,0,238
ddos_syn,0.001,5,2032,79,15,236,7,64,229
ddos_syn,0.001,6,780,83,19,262,29,64,233
ddos_syn,0.001,7,1032,87,23,261,17,64,244
ddos_syn,0.001,8,1268,75,75,249,21,0,228
ddos_syn,0.001,9,1548,83,19,243,11,64,232
ddos_syn,0.1,0,780,83,19,258,6,64,252
ddos_syn,0.1,1,1032,87,87,261,23,0,238
ddos_syn,0.1,10,1761,94,62,246,22,32,224
ddos_syn,0.1,11,2035,76,76,243,11,0,232
ddos_syn,0.1,12,780,83,19,262,28,64,234
ddos_syn,0.1,13,1032,87,23,261,2,64,259
ddos_syn,0.1,14,1270,73,41,248,14,32,234
ddos_syn,0.1,15,1548,83,19,248,20,64,228
ddos_syn,0.1,16,1760,95,31,257,22,64,235
ddos_syn,0.1,17,2039,72,40,240,8,32,232
ddos_syn,0.1,18,780,83,19,262,28,64,234
ddos_syn,0.1,19,1032,87,23,261,2,64,259
ddos_syn,0.1,2,1267,76,76,246,7,0,239
ddos_syn,0.1,20,1270,73,41,248,14,32,234
ddos_syn,0.1,21,1548,83,19,248,20,64,228
ddos_syn,0.1,22,1764,91,91,247,16,0,231
ddos_syn,0.1,23,2031,80,16,249,27,64,222
ddos_syn,0.1,24,780,83,19,262,28,64,234
ddos_syn,0.1,25,1032,87,23,261,2,64,259
ddos_syn,0.1,26,1270,73,9,251,26,64,225
ddos_syn,0.1,27,1543,88,24,241,4,64,237
ddos_syn,0.1,28,1764,91,91,250,17,0,233
ddos_syn,0.1,29,2031,80,16,261,27,64,234
ddos_syn,0.1,3,1548,83,19,244,17,64,227
ddos_syn,0.1,4,1763,92,92,246,10,0,236
ddos_syn,0.1,5,2031,80,48,249,27,32,222
ddos_syn,0.1,6,778,85,85,256,15,0,241
ddos_syn,0.1,7,1032,87,23,258,2,64,256
ddos_syn,0.1,8,1270,73,41,248,14,32,234
ddos_syn,0.1,9,1548,83,19,248,20,64,228
dos_syn,0.001,0,781,50,18,132,28,32,104
dos_syn,0.001,1,1033,54,54,131,16,0,115
dos_syn,0.001,10,1765,58,58,131,4,0,127
dos_syn,0.001,11,2040,71,7,130,29,64,101
dos_syn,0.001,12,781,50,18,132,28,32,104
dos_syn,0.001,13,1033,54,54,132,16,0,116
dos_syn,0.001,14,1271,72,8,130,18,64,112
dos_syn,0.001,15,1550,49,17,130,9,32,121
dos_syn,0.001,16,1765,58,26,129,4,32,125
dos_syn,0.001,17,2046,65,65,129,0,0,129
dos_syn,0.001,18,781,50,18,131,28,32,103
dos_syn,0.001,19,1033,54,22,131,16,32,115
dos_syn,0.001,2,1271,72,8,131,21,64,110
dos_syn,0.001,20,1271,72,8,131,21,64,110
dos_syn,0.001,21,1550,49,17,130,9,32,121
dos_syn,0.001,22,1765,58,26,129,4,32,125
dos_syn,0.001,23,2035,76,12,128,4,64,124
dos_syn,0.001,24,781,50,18,132,28,32,104
dos_syn,0.001,25,1033,54,54,131,16,0,115
dos_syn,0.001,26,1271,72,8,131,21,64,110
dos_syn,0.001,27,1550,49,17,130,9,32,121
dos_syn,0.001,28,1765,58,58,131,4,0,127
dos_syn,0.001,29,2035,76,44,130,4,32,126
dos_syn,0.001,3,1550,49,17,130,9,32,121
dos_syn,0.001,4,1765,58,26,129,4,32,125
dos_syn,0.001,5,2034,77,13,131,5,64,126
dos_syn,0.001,6,781,50,18,131,28,32,103
dos_syn,0.001,7,1033,54,54,131,16,0,115
dos_syn,0.001,8,1269,74,10,130,20,64,110
dos_syn,0.001,9,1550,49,17,130,9,32,121
dos_syn,0.1,0,781,50,18,131,5,32,126
dos_syn,0.1,1,1033,54,118,131,19,-64,112
dos_syn,0.1,10,1765,58,58,131,5,0,126
dos_syn,0.1,11,2036,75,11,128,28,64,100
dos_syn,0.1,12,781,50,18,132,29,32,103
dos_syn,0.1,13,1033,54,54,132,3,0,129
dos_syn,0.1,14,1271,72,8,131,26,64,105
dos_syn,0.1,15,1550,49,17,130,6,32,124
dos_syn,0.1,16,1765,58,58,131,5,0,126
dos_syn,0.1,17,2035,76,76,130,0,0,130
dos_syn,0.1,18,781,50,18,132,29,32,103
dos_syn,0.1,19,1033,54,118,131,19,-64,112
dos_syn,0.1,2,1271,72,8,130,0,64,130
dos_syn,0.1,20,1271,72,8,131,26,64,105
dos_syn,0.1,21,1550,49,17,130,11,32,119
dos_syn,0.1,22,1765,58,58,131,5,0,126
dos_syn,0.1,23,2042,69,69,130,20,0,110
dos_syn,0.1,24,781,50,18,132,29,32,103
dos_syn,0.1,25,1033,54,54,132,3,0,129
dos_syn,0.1,26,1271,72,8,131,26,64,105
dos_syn,0.1,27,1550,49,17,130,11,32,119
dos_syn,0.1,28,1765,58,58,131,5,0,126
dos_syn,0.1,29,2034,77,109,131,1,-32,130
dos_syn,0.1,3,1550,49,17,130,11,32,119
dos_syn,0.1,4,1765,58,90,130,3,-32,127
dos_syn,0.1,5,2044,67,3,130,19,64,111
dos_syn,0.1,6,781,50,18,131,5,32,126
dos_syn,0.1,7,1030,57,153,132,19,-96,113
dos_syn,0.1,8,1271,72,8,131,26,64,105
dos_syn,0.1,9,1550,49,17,130,11,32,119
mirai,0.001,0,346,901,5,967,13,896,954
mirai,0.001,1,330,1141,21,1219,29,1120,1190
mirai,0.001,10,2169,70,6,126,20,64,106
mirai,0.001,11,1976,487,39,573,3,448,570
mirai,0.001,12,346,901,5,967,13,896,954
mirai,0.001,13,1419,52,20,130,20,32,110
mirai,0.001,14,1676,51,19,128,24,32,104
mirai,0.001,15,1925,58,122,128,17,-64,111
mirai,0.001,16,2169,70,6,128,20,64,108
mirai,0.001,17,2424,71,7,126,5,64,121
mirai,0.001,18,295,952,120,1016,4,832,1012
mirai,0.001,19,369,1102,46,1181,20,1056,1161
mirai,0.001,2,1676,51,19,128,3,32,125
mirai,0.001,20,1676,51,19,128,3,32,125
mirai,0.001,21,1925,58,122,129,16,-64,113
mirai,0.001,22,2169,70,6,126,20,64,106
mirai,0.001,23,2425,70,6,126,11,64,115
mirai,0.001,24,346,901,5,967,13,896,954
mirai,0.001,25,346,1125,5,1203,13,1120,1190
mirai,0.001,26,1676,51,19,128,3,32,125
mirai,0.001,27,1925,58,58,129,24,0,105
mirai,0.001,28,2170,69,37,128,19,32,109
mirai,0.001,29,2424,71,7,126,5,64,121
mirai,0.001,3,1925,58,122,128,17,-64,111
mirai,0.001,4,2169,70,6,128,20,64,108
mirai,0.001,5,2424,71,7,126,5,64,121
mirai,0.001,6,330,917,21,982,29,896,953
mirai,0.001,7,330,1141,21,1219,29,1120,1190
mirai,0.001,8,1676,51,19,128,3,32,125
mirai,0.001,9,1925,58,58,129,24,0,105
mirai,0.1,0,330,917,21,982,24,896,958
mirai,0.1,1,1420,51,19,129,0,32,129
mirai,0.1,10,2170,69,5,126,12,64,114
mirai,0.1,11,2026,469,21,526,18,448,508
mirai,0.1,12,310,937,9,1001,12,928,989
mirai,0.1,13,1420,51,19,130,12,32,118
mirai,0.1,14,1676,51,19,130,21,32,109
mirai,0.1,15,1925,58,58,129,1,0,128
mirai,0.1,16,2169,70,6,126,15,64,111
mirai,0.1,17,2424,71,7,126,0,64,126
mirai,0.1,18,330,917,21,982,24,896,958
mirai,0.1,19,1420,51,19,130,12,32,118
mirai,0.1,2,1673,54,54,128,21,0,107
mirai,0.1,20,1676,51,19,130,21,32,109
mirai,0.1,21,1925,58,122,128,17,-64,111
mirai,0.1,22,2170,69,5,127,12,64,115
mirai,0.1,23,1940,555,11,615,18,544,597
mirai,0.1,24,346,901,5,967,20,896,947
mirai,0.1,25,1420,51,19,129,17,32,112
mirai,0.1,26,1676,51,19,128,28,32,100
mirai,0.1,27,1925,58,58,129,1,0,128
mirai,0.1,28,2169,70,6,128,29,64,99
mirai,0.1,29,1978,517,5,572,5,512,567
mirai,0.1,3,1925,58,122,129,17,-64,112
mirai,0.1,4,2169,70,6,128,29,64,99
mirai,0.1,5,1978,517,5,572,5,512,567
mirai,0.1,6,330,917,21,982,24,896,958
mirai,0.1,7,346,1125,5,1203,20,1120,1183
mirai,0.1,8,1676,51,19,128,24,32,104
mirai,0.1,9,1925,58,122,128,17,-64,111
recon,0.001,0,788,75,43,187,21,32,166
recon,0.001,1,1038,81,113,184,11,-32,173
recon,0.001,10,1766,57,57,189,3,0,186
recon,0.001,11,2047,64,32,176,26,32,150
recon,0.001,12,788,75,43,188,21,32,167
recon,0.001,13,1038,81,81,179,15,0,164
recon,0.001,14,1271,72,8,182,18,64,164
