atk,r0,comp,t_a,lat_adwin_err,lat_adwin_rho,lat_ph_err,lat_ph_rho,lead_adwin,lead_ph
ddos_syn,0.001,0,780,211,83,1245,45,128,1200
ddos_syn,0.001,1,1031,120,24,1148,6,96,1142
ddos_syn,0.001,10,1767,88,56,343,26,32,317
ddos_syn,0.001,11,2041,102,6,328,23,96,305
ddos_syn,0.001,12,780,179,83,1220,12,96,1208
ddos_syn,0.001,13,1032,119,23,1173,19,96,1154
ddos_syn,0.001,14,1270,137,41,1179,34,96,1145
ddos_syn,0.001,15,1546,85,21,322,3,64,319
ddos_syn,0.001,16,1763,92,28,334,9,64,325
ddos_syn,0.001,17,2031,176,48,335,19,128,316
ddos_syn,0.001,18,780,179,83,1220,12,96,1208
ddos_syn,0.001,19,1031,120,24,1148,6,96,1142
ddos_syn,0.001,2,1270,9,9,1133,27,0,1106
ddos_syn,0.001,20,1268,139,11,1129,29,128,1100
ddos_syn,0.001,21,1548,83,19,359,18,64,341
ddos_syn,0.001,22,1764,91,59,323,12,32,311
ddos_syn,0.001,23,2031,144,48,314,18,96,296
ddos_syn,0.001,24,780,147,19,1210,30,128,1180
ddos_syn,0.001,25,1032,119,23,1162,6,96,1156
ddos_syn,0.001,26,1270,105,9,1172,2,96,1170
ddos_syn,0.001,27,1548,83,19,359,18,64,341
ddos_syn,0.001,28,1763,92,28,344,13,64,331
ddos_syn,0.001,29,2037,74,42,277,29,32,248
ddos_syn,0.001,3,1548,83,19,350,18,64,332
ddos_syn,0.001,4,1764,91,27,327,9,64,318
ddos_syn,0.001,5,2031,144,48,324,18,96,306
ddos_syn,0.001,6,780,179,83,1221,12,96,1209
ddos_syn,0.001,7,1032,119,23,1173,19,96,1154
ddos_syn,0.001,8,1270,137,41,1179,34,96,1145
ddos_syn,0.001,9,1548,83,19,311,3,64,308
ddos_syn,0.1,0,779,116,116,320,113,0,207
ddos_syn,0.1,1,1032,119,87,300,99,32,201
ddos_syn,0.1,10,1763,92,60,292,83,32,209
ddos_syn,0.1,11,2038,73,105,1178,102,-32,1076
ddos_syn,0.1,12,780,115,115,323,55,0,268
ddos_syn,0.1,13,1032,119,119,311,113,0,198
ddos_syn,0.1,14,1270,105,41,283,98,64,185
ddos_syn,0.1,15,1548,83,83,282,112,0,170
ddos_syn,0.1,16,1763,92,92,261,42,0,219
ddos_syn,0.1,17,2035,76,76,268,67,0,201
ddos_syn,0.1,18,780,115,83,451,86,32,365
ddos_syn,0.1,19,1030,121,25,320,23,96,297
ddos_syn,0.1,2,1270,105,41,283,98,64,185
ddos_syn,0.1,20,1270,105,105,305,87,0,218
ddos_syn,0.1,21,1548,83,51,287,48,32,239
ddos_syn,0.1,22,1761,94,94,267,189,0,78
ddos_syn,0.1,23,2035,76,108,265,214,-32,51
ddos_syn,0.1,24,780,115,83,438,86,32,352
ddos_syn,0.1,25,1032,119,119,334,38,0,296
ddos_syn,0.1,26,1270,105,41,283,98,64,185
ddos_syn,0.1,27,1548,83,83,266,60,0,206
