,Rate,Rate,Rate,AVG,AVG,AVG,Min,Min,Min,Max,Max,Max,Std,Std,Std,Tot size,Tot size,Tot size
,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median,mean,std,median
Label,,,,,,,,,,,,,,,,,,
BENIGN,706.4851,1745.5983,186.0681,645.6485,649.1458,311.95,109.5,247.1619,66.0,1617.1176,1602.9372,1514.0,514.3457,507.2674,420.5912,645.6485,649.1458,311.95
BROWSERHIJACKING,1585.9697,2142.4628,1585.9697,1062.6,1386.495,1062.6,63.0,4.2426,63.0,1565.0,1992.6269,1565.0,504.3054,673.9936,504.3054,1062.6,1386.495,1062.6
COMMANDINJECTION,117.236,,117.236,468.7,,468.7,66.0,,66.0,1514.0,,1514.0,579.7327,,579.7327,468.7,,468.7
DDOS-ACK_FRAGMENTATION,3400.9437,2693.2003,3417.5051,906.3182,72.7008,929.81,126.0909,123.7194,60.0,1514.0,0.0,1514.0,584.7221,17.81,576.8739,906.3182,72.7008,929.81
DDOS-HTTP_FLOOD,1370.8981,,1370.8981,456.76,,456.76,60.0,,60.0,2962.0,,2962.0,677.7677,,677.7677,456.76,,456.76
DDOS-ICMP_FLOOD,39547.4104,31781.6341,32721.9847,60.2332,1.9101,60.0,60.0,0.0,60.0,75.7023,101.962,60.0,1.722,11.7608,0.0,60.2332,1.9101,60.0
DDOS-ICMP_FRAGMENTATION,2447.9852,1682.0263,2315.9111,920.5869,88.1267,923.015,111.9375,108.6661,60.0,1512.75,5.0,1514.0,613.1892,43.6049,591.61,920.5869,88.1267,923.015
DDOS-PSHACK_FLOOD,35218.8636,23285.416,33112.0549,60.1031,0.4665,60.0,60.0,0.0,60.0,69.948,45.7183,60.0,0.999,4.576,0.0,60.1031,0.4665,60.0
DDOS-RSTFINFLOOD,32525.5247,19315.2742,30075.4978,61.8747,21.8135,60.0,60.0,0.0,60.0,105.2558,336.1198,60.0,6.2596,55.4442,0.0,61.8747,21.8135,60.0
DDOS-SLOWLORIS,630.3616,539.3037,630.3616,342.525,281.9164,342.525,60.0,0.0,60.0,6582.0,5119.4531,6582.0,895.9354,800.9963,895.9354,342.525,281.9164,342.525
DDOS-SYNONYMOUSIP_FLOOD,32833.8995,24325.3024,26512.6675,60.273,1.2644,60.0,60.0,0.0,60.0,87.3046,126.4448,60.0,2.7305,12.6445,0.0,60.273,1.2644,60.0
DDOS-SYN_FLOOD,34144.3895,30838.5586,29555.2285,61.1068,8.7132,60.0,60.0,0.0,60.0,97.1901,209.6042,60.0,3.9368,21.3508,0.0,61.1068,8.7132,60.0
DDOS-TCP_FLOOD,31380.2317,19962.1344,29948.6184,64.2566,19.9523,60.0,62.3383,15.9814,60.0,125.9104,321.2321,60.0,7.0536,37.3843,0.0,64.2566,19.9523,60.0
DDOS-UDP_FLOOD,32881.9636,20921.1314,29255.1022,60.1951,0.7172,60.0,60.0,0.0,60.0,75.3744,52.8198,60.0,1.6465,5.6294,0.0,60.1951,0.7172,60.0
DDOS-UDP_FRAGMENTATION,3026.1853,1971.5718,2921.6725,906.1983,43.6818,920.625,145.1667,131.9964,70.0,1514.0,0.0,1514.0,588.3689,10.3601,586.017,906.1983,43.6818,920.625
DNS_SPOOFING,32494.5852,103285.1925,312.539,655.3364,553.3549,416.6,190.2727,434.4749,54.0,1038.0909,603.7076,1494.0,298.3597,233.1327,361.2885,655.3364,553.3549,416.6
DOS-SYN_FLOOD,24667.7411,17686.8383,23600.587,60.986,4.4938,60.0,60.0,0.0,60.0,140.2963,343.817,60.0,8.3552,36.2283,0.0,60.986,4.4938,60.0
DOS-TCP_FLOOD,25567.2059,15853.8537,24619.222,60.8971,6.3398,60.0,60.0,0.0,60.0,111.1349,271.5642,60.0,6.3529,38.6453,0.0,60.8971,6.3398,60.0
DOS-UDP_FLOOD,20459.5719,10535.4067,21376.6067,89.4213,48.4122,60.1,73.4656,36.0434,60.0,179.4351,329.504,70.0,13.1919,45.4362,0.0,89.4213,48.4122,60.1
MIRAI-GREETH_FLOOD,5588.2826,3259.1492,5188.5159,582.9768,20.946,592.0,362.0263,260.5785,592.0,609.5,105.4062,592.0,40.6874,54.5686,0.0,582.9768,20.946,592.0
MIRAI-GREIP_FLOOD,6269.4296,5876.6351,4202.7515,570.9067,12.058,574.36,323.3548,252.668,214.0,578.3871,2.1553,578.0,38.468,44.2383,36.4,570.9067,12.058,574.36
MIRAI-UDPPLAIN,6633.1502,4848.206,6007.7405,549.4805,7.4415,551.68,303.1026,239.7433,196.0,692.7949,661.9984,554.0,43.4961,74.456,35.8,549.4805,7.4415,551.68
MITM-ARPSPOOFING,57283.1552,121523.664,1135.314,585.2765,607.3202,277.3,325.1176,562.364,66.0,1050.8235,850.9511,1466.0,290.0249,298.3054,193.1586,585.2765,607.3202,277.3
RECON-HOSTDISCOVERY,2269.649,3666.6713,603.8729,574.5,993.8936,85.8,418.5,717.0,60.0,862.0,1375.5077,230.0,210.9385,351.7592,51.904,574.5,993.8936,85.8
RECON-OSSCAN,59827.6254,144825.6986,920.2598,317.65,539.2655,101.4,144.8333,199.0019,66.0,487.6667,516.658,315.5,109.6609,102.3607,79.8475,317.65,539.2655,101.4
RECON-PORTSCAN,7639.1298,10656.9921,7639.1298,714.2,925.1785,714.2,63.0,4.2426,63.0,1691.0,2306.5823,1691.0,840.6956,1188.9231,840.6956,714.2,925.1785,714.2
VULNERABILITYSCAN,2016.1331,4768.8524,182.8189,261.0867,341.4121,136.5,64.2667,8.7134,60.0,617.6,713.5118,345.0,214.0555,284.9424,113.4257,261.0867,341.4121,136.5
